data;currency;usdpercent;usd;tngpercent;tng
18.03.2014;1 USD = 182.06 KZT;0.21%;1 928 $/м2;0.2%;351 000 ₸/м2
25.03.2014;1 USD = 182.04 KZT;-0.62%;1 916 $/м2;-0.62%;348 800 ₸/м2
25.03.2014;1 USD = 182.04 KZT;-0.62%;1 916 $/м2;-0.62%;348 800 ₸/м2
08.04.2014;1 USD = 182.03 KZT;-0.26%;1 905 $/м2;-0.28%;346 800 ₸/м2
15.04.2014;1 USD = 182.03 KZT;-0.16%;1 902 $/м2;-0.16%;346 200 ₸/м2
15.04.2014;1 USD = 182.03 KZT;-0.16%;1 902 $/м2;-0.16%;346 200 ₸/м2
30.04.2014;1 USD = 182.05 KZT;0.63%;1 907 $/м2;0.61%;347 100 ₸/м2
07.05.2014;1 USD = 182.02 KZT;0.1%;1 909 $/м2;0.11%;347 500 ₸/м2
14.05.2014;1 USD = 182.02 KZT;1.36%;1 935 $/м2;1.33%;352 100 ₸/м2
14.05.2014;1 USD = 182.02 KZT;1.36%;1 935 $/м2;1.33%;352 100 ₸/м2
28.05.2014;1 USD = 183.46 KZT;-0.93%;1 909 $/м2;-0.4%;350 500 ₸/м2
04.06.2014;1 USD = 183.49 KZT;-0.21%;1 905 $/м2;-0.27%;349 600 ₸/м2
04.06.2014;1 USD = 183.49 KZT;-0.21%;1 905 $/м2;-0.27%;349 600 ₸/м2
18.06.2014;1 USD = 183.51 KZT;-0.93%;1 925 $/м2;-0.94%;353 200 ₸/м2
25.06.2014;1 USD = 183.49 KZT;-1.71%;1 892 $/м2;-1.69%;347 200 ₸/м2
02.07.2014;1 USD = 183.52 KZT;0.69%;1 905 $/м2;0.72%;349 700 ₸/м2
02.07.2014;1 USD = 183.52 KZT;0.69%;1 905 $/м2;0.72%;349 700 ₸/м2
16.07.2014;1 USD = 183.52 KZT;-0.21%;1 914 $/м2;-0.21%;351 200 ₸/м2
23.07.2014;1 USD = 183.53 KZT;-0.21%;1 910 $/м2;-0.18%;350 600 ₸/м2
23.07.2014;1 USD = 183.53 KZT;-0.21%;1 910 $/м2;-0.18%;350 600 ₸/м2
06.08.2014;1 USD = 182.04 KZT;-2.15%;1 909 $/м2;-2.49%;347 400 ₸/м2
13.08.2014;1 USD = 182.00 KZT;-0.42%;1 901 $/м2;-0.41%;346 000 ₸/м2
20.08.2014;1 USD = 182.00 KZT;0.95%;1 919 $/м2;0.95%;349 300 ₸/м2
20.08.2014;1 USD = 182.00 KZT;0.95%;1 919 $/м2;0.95%;349 300 ₸/м2
03.09.2014;1 USD = 182.00 KZT;-0.87%;1 942 $/м2;-0.84%;353 500 ₸/м2
10.09.2014;1 USD = 182.00 KZT;-0.57%;1 931 $/м2;-0.59%;351 400 ₸/м2
10.09.2014;1 USD = 182.00 KZT;-0.57%;1 931 $/м2;-0.59%;351 400 ₸/м2
24.09.2014;1 USD = 181.90 KZT;0.47%;1 939 $/м2;0.42%;352 700 ₸/м2
01.10.2014;1 USD = 181.90 KZT;-0.1%;1 937 $/м2;-0.1%;352 300 ₸/м2
01.10.2014;1 USD = 181.90 KZT;-0.1%;1 937 $/м2;-0.1%;352 300 ₸/м2
15.10.2014;1 USD = 181.80 KZT;-0.87%;1 927 $/м2;-1%;349 800 ₸/м2
22.10.2014;1 USD = 181.34 KZT;2.28%;1 971 $/м2;1.96%;356 700 ₸/м2
29.10.2014;1 USD = 180.87 KZT;-1.32%;1 945 $/м2;-1.39%;351 700 ₸/м2
29.10.2014;1 USD = 180.87 KZT;-1.32%;1 945 $/м2;-1.39%;351 700 ₸/м2
12.11.2014;1 USD = 180.87 KZT;0.1%;1 922 $/м2;0.09%;347 700 ₸/м2
19.11.2014;1 USD = 180.87 KZT;-0.47%;1 913 $/м2;-0.49%;346 000 ₸/м2
19.11.2014;1 USD = 180.87 KZT;-0.47%;1 913 $/м2;-0.49%;346 000 ₸/м2
03.12.2014;1 USD = 181.09 KZT;-0.26%;1 910 $/м2;-0.01%;346 400 ₸/м2
10.12.2014;1 USD = 181.70 KZT;0.05%;1 911 $/м2;0.24%;347 200 ₸/м2
10.12.2014;1 USD = 181.70 KZT;0.05%;1 911 $/м2;0.24%;347 200 ₸/м2
24.12.2014;1 USD = 182.05 KZT;-0.36%;1 914 $/м2;-0.18%;348 900 ₸/м2
31.12.2014;1 USD = 182.35 KZT;-1.2%;1 891 $/м2;-1.11%;345 000 ₸/м2
07.01.2015;1 USD = 182.85 KZT;2.86%;1 945 $/м2;3.2%;356 100 ₸/м2
07.01.2015;1 USD = 182.85 KZT;2.86%;1 945 $/м2;3.2%;356 100 ₸/м2
21.01.2015;1 USD = 183.80 KZT;0.8%;1 899 $/м2;1.03%;349 600 ₸/м2
28.01.2015;1 USD = 184.45 KZT;-1.26%;1 875 $/м2;-1.06%;345 900 ₸/м2
28.01.2015;1 USD = 184.45 KZT;-1.26%;1 875 $/м2;-1.06%;345 900 ₸/м2
11.02.2015;1 USD = 185.05 KZT;-0.7%;1 855 $/м2;-0.53%;343 300 ₸/м2
18.02.2015;1 USD = 185.05 KZT;-0.32%;1 849 $/м2;-0.33%;342 200 ₸/м2
25.02.2015;1 USD = 185.05 KZT;-0.92%;1 832 $/м2;-0.96%;338 900 ₸/м2
25.02.2015;1 USD = 185.05 KZT;-0.92%;1 832 $/м2;-0.96%;338 900 ₸/м2
11.03.2015;1 USD = 185.20 KZT;-2.04%;1 826 $/м2;-1.93%;338 400 ₸/м2
18.03.2015;1 USD = 185.35 KZT;-2.52%;1 780 $/м2;-2.43%;330 200 ₸/м2
18.03.2015;1 USD = 185.35 KZT;-2.52%;1 780 $/м2;-2.43%;330 200 ₸/м2
01.04.2015;1 USD = 185.65 KZT;-0.28%;1 788 $/м2;-0.22%;331 900 ₸/м2
08.04.2015;1 USD = 185.65 KZT;-1.23%;1 766 $/м2;-1.19%;327 900 ₸/м2
08.04.2015;1 USD = 185.65 KZT;-1.23%;1 766 $/м2;-1.19%;327 900 ₸/м2
22.04.2015;1 USD = 185.80 KZT;0.96%;1 789 $/м2;0.96%;332 500 ₸/м2
29.04.2015;1 USD = 185.80 KZT;-2.29%;1 748 $/м2;-2.29%;324 900 ₸/м2
06.05.2015;1 USD = 185.80 KZT;0.34%;1 754 $/м2;0.3%;325 800 ₸/м2
19.05.2015;1 USD = 185.80 KZT;-0.06%;1 753 $/м2;-0.04%;325 700 ₸/м2
19.05.2015;1 USD = 185.80 KZT;-0.06%;1 753 $/м2;-0.04%;325 700 ₸/м2
27.05.2015;1 USD = 185.80 KZT;0.34%;1 768 $/м2;0.41%;328 700 ₸/м2
27.05.2015;1 USD = 185.80 KZT;0.34%;1 768 $/м2;0.41%;328 700 ₸/м2
10.06.2015;1 USD = 185.95 KZT;-0.06%;1 757 $/м2;-0.02%;326 800 ₸/м2
17.06.2015;1 USD = 186.05 KZT;-0.11%;1 755 $/м2;-0.1%;326 500 ₸/м2
17.06.2015;1 USD = 186.05 KZT;-0.11%;1 755 $/м2;-0.1%;326 500 ₸/м2
01.07.2015;1 USD = 186.20 KZT;-0.51%;1 753 $/м2;-0.52%;326 400 ₸/м2
08.07.2015;1 USD = 186.20 KZT;-1.37%;1 729 $/м2;-1.25%;322 300 ₸/м2
15.07.2015;1 USD = 186.80 KZT;-0.06%;1 728 $/м2;0.25%;323 200 ₸/м2
15.07.2015;1 USD = 186.80 KZT;-0.06%;1 728 $/м2;0.25%;323 200 ₸/м2
29.07.2015;1 USD = 187.25 KZT;-1.5%;1 703 $/м2;-1.32%;319 200 ₸/м2
05.08.2015;1 USD = 187.65 KZT;-0.23%;1 699 $/м2;-0.12%;318 800 ₸/м2
05.08.2015;1 USD = 187.65 KZT;-0.23%;1 699 $/м2;-0.12%;318 800 ₸/м2
19.08.2015;1 USD = 188.35 KZT;-1.17%;1 691 $/м2;20.67%;388 300 ₸/м2
26.08.2015;1 USD = 230.11 KZT;-1.83%;1 660 $/м2;1.74%;395 100 ₸/м2
02.09.2015;1 USD = 234.94 KZT;-1.51%;1 635 $/м2;-0.8%;391 900 ₸/м2
02.09.2015;1 USD = 234.94 KZT;-1.51%;1 635 $/м2;-0.8%;391 900 ₸/м2
16.09.2015;1 USD = 276.83 KZT;-1.56%;1 582 $/м2;6.22%;432 400 ₸/м2
23.09.2015;1 USD = 269.96 KZT;-2.4%;1 544 $/м2;-4.22%;414 100 ₸/м2
23.09.2015;1 USD = 269.96 KZT;-2.4%;1 544 $/м2;-4.22%;414 100 ₸/м2
07.10.2015;1 USD = 272.95 KZT;-4.91%;1 492 $/м2;-3.85%;408 900 ₸/м2
14.10.2015;1 USD = 275.47 KZT;-0.8%;1 480 $/м2;-0.05%;408 700 ₸/м2
14.10.2015;1 USD = 275.47 KZT;-0.8%;1 480 $/м2;-0.05%;408 700 ₸/м2
28.10.2015;1 USD = 278.92 KZT;-0.83%;1 432 $/м2;-0.3%;399 900 ₸/м2
04.11.2015;1 USD = 282.70 KZT;-0.49%;1 425 $/м2;6.99%;427 800 ₸/м2
11.11.2015;1 USD = 306.74 KZT;-1.68%;1 401 $/м2;0.69%;430 800 ₸/м2
11.11.2015;1 USD = 306.74 KZT;-1.68%;1 401 $/м2;0.69%;430 800 ₸/м2
25.11.2015;1 USD = 307.13 KZT;-0.35%;1 410 $/м2;-0.47%;433 100 ₸/м2
02.12.2015;1 USD = 307.40 KZT;-5.46%;1 333 $/м2;-5.42%;409 600 ₸/м2
02.12.2015;1 USD = 307.40 KZT;-5.46%;1 333 $/м2;-5.42%;409 600 ₸/м2
16.12.2015;1 USD = 322.47 KZT;-1.99%;1 278 $/м2;6.95%;435 300 ₸/м2
29.12.2015;1 USD = 331.38 KZT;-5.24%;1 211 $/м2;-7.81%;401 300 ₸/м2
29.12.2015;1 USD = 331.38 KZT;-5.24%;1 211 $/м2;-7.81%;401 300 ₸/м2
06.01.2016;1 USD = 343.14 KZT;-0.56%;1 243 $/м2;2.32%;434 400 ₸/м2
13.01.2016;1 USD = 365.07 KZT;-3.62%;1 198 $/м2;0.6%;437 000 ₸/м2
26.01.2016;1 USD = 372.89 KZT;-1.34%;1 182 $/м2;0.85%;440 800 ₸/м2
26.01.2016;1 USD = 372.89 KZT;-1.34%;1 182 $/м2;0.85%;440 800 ₸/м2
08.02.2016;1 USD = 363.72 KZT;0.25%;1 182 $/м2;0.97%;440 800 ₸/м2
16.02.2016;1 USD = 362.10 KZT;8.63%;1 284 $/м2;5.49%;464 900 ₸/м2
17.02.2016;1 USD = 357.71 KZT;-6.15%;1 205 $/м2;-8.09%;427 300 ₸/м2
01.03.2016;1 USD = 348.78 KZT;-3.32%;1 165 $/м2;-5.67%;403 100 ₸/м2
01.03.2016;1 USD = 348.78 KZT;-3.32%;1 165 $/м2;-5.67%;403 100 ₸/м2
09.03.2016;1 USD = 345.02 KZT;-0.26%;1 172 $/м2;-0.74%;403 400 ₸/м2
09.03.2016;1 USD = 345.02 KZT;-0.26%;1 172 $/м2;-0.74%;403 400 ₸/м2
23.03.2016;1 USD = 346.05 KZT;2.27%;1 171 $/м2;2.11%;404 300 ₸/м2
30.03.2016;1 USD = 341.51 KZT;-1.37%;1 155 $/м2;-1.95%;396 400 ₸/м2
30.03.2016;1 USD = 341.51 KZT;-1.37%;1 155 $/м2;-1.95%;396 400 ₸/м2
13.04.2016;1 USD = 335.64 KZT;0.09%;1 156 $/м2;-1.65%;387 800 ₸/м2
20.04.2016;1 USD = 337.99 KZT;-0.78%;1 147 $/м2;-1.07%;383 700 ₸/м2
20.04.2016;1 USD = 337.99 KZT;-0.78%;1 147 $/м2;-1.07%;383 700 ₸/м2
04.05.2016;1 USD = 329.21 KZT;0.97%;1 147 $/м2;2.09%;383 400 ₸/м2
11.05.2016;1 USD = 334.60 KZT;0.96%;1 158 $/м2;-0.1%;383 000 ₸/м2
18.05.2016;1 USD = 328.07 KZT;-0.52%;1 152 $/м2;0.33%;384 200 ₸/м2
18.05.2016;1 USD = 328.07 KZT;-0.52%;1 152 $/м2;0.33%;384 200 ₸/м2
01.06.2016;1 USD = 335.84 KZT;-2.89%;1 109 $/м2;-2.29%;373 600 ₸/м2
08.06.2016;1 USD = 333.88 KZT;0.54%;1 115 $/м2;-0.83%;370 500 ₸/м2
08.06.2016;1 USD = 333.88 KZT;0.54%;1 115 $/м2;-0.83%;370 500 ₸/м2
22.06.2016;1 USD = 335.87 KZT;-4.22%;1 067 $/м2;-4.35%;359 900 ₸/м2
29.06.2016;1 USD = 339.12 KZT;3%;1 099 $/м2;3.35%;372 000 ₸/м2
29.06.2016;1 USD = 339.12 KZT;3%;1 099 $/м2;3.35%;372 000 ₸/м2
13.07.2016;1 USD = 338.51 KZT;-0.65%;1 077 $/м2;-0.22%;364 900 ₸/м2
20.07.2016;1 USD = 338.72 KZT;-0.56%;1 071 $/м2;0.16%;365 500 ₸/м2
27.07.2016;1 USD = 350.20 KZT;0.65%;1 078 $/м2;3.59%;378 600 ₸/м2
27.07.2016;1 USD = 350.20 KZT;0.65%;1 078 $/м2;3.59%;378 600 ₸/м2
10.08.2016;1 USD = 345.89 KZT;1.11%;1 089 $/м2;-0.34%;377 200 ₸/м2
17.08.2016;1 USD = 343.73 KZT;0.92%;1 099 $/м2;-0.73%;374 400 ₸/м2
17.08.2016;1 USD = 343.73 KZT;0.92%;1 099 $/м2;-0.73%;374 400 ₸/м2
31.08.2016;1 USD = 338.98 KZT;2.98%;1 139 $/м2;3.24%;387 800 ₸/м2
07.09.2016;1 USD = 339.80 KZT;-0.88%;1 129 $/м2;-1.61%;381 500 ₸/м2
14.09.2016;1 USD = 337.64 KZT;-0.62%;1 122 $/м2;-0.35%;380 200 ₸/м2
14.09.2016;1 USD = 337.64 KZT;-0.62%;1 122 $/м2;-0.35%;380 200 ₸/м2
28.09.2016;1 USD = 337.16 KZT;-0.27%;1 101 $/м2;-0.94%;369 800 ₸/м2
05.10.2016;1 USD = 333.59 KZT;0.54%;1 107 $/м2;-0.44%;368 200 ₸/м2
05.10.2016;1 USD = 333.59 KZT;0.54%;1 107 $/м2;-0.44%;368 200 ₸/м2
19.10.2016;1 USD = 332.12 KZT;-0.37%;1 073 $/м2;-0.44%;355 200 ₸/м2
26.10.2016;1 USD = 330.12 KZT;0.37%;1 077 $/м2;0.83%;358 100 ₸/м2
26.10.2016;1 USD = 330.12 KZT;0.37%;1 077 $/м2;0.83%;358 100 ₸/м2
09.11.2016;1 USD = 339.75 KZT;2.43%;1 098 $/м2;3.07%;373 400 ₸/м2
16.11.2016;1 USD = 344.56 KZT;-3.19%;1 063 $/м2;-2.62%;363 600 ₸/м2
29.11.2016;1 USD = 340.24 KZT;-1.03%;1 052 $/м2;-2.24%;355 400 ₸/м2
29.11.2016;1 USD = 340.24 KZT;-1.03%;1 052 $/м2;-2.24%;355 400 ₸/м2
07.12.2016;1 USD = 335.61 KZT;3.93%;1 112 $/м2;2.36%;372 400 ₸/м2
14.12.2016;1 USD = 330.24 KZT;-1.35%;1 097 $/м2;-2.45%;363 300 ₸/м2
14.12.2016;1 USD = 330.24 KZT;-1.35%;1 097 $/м2;-2.45%;363 300 ₸/м2
28.12.2016;1 USD = 333.34 KZT;-2.62%;1 076 $/м2;-2.3%;358 400 ₸/м2
04.01.2017;1 USD = 333.29 KZT;3.9%;1 118 $/м2;3.94%;372 500 ₸/м2
12.01.2017;1 USD = 333.96 KZT;-4.03%;1 073 $/м2;-4.22%;356 700 ₸/м2
12.01.2017;1 USD = 333.96 KZT;-4.03%;1 073 $/м2;-4.22%;356 700 ₸/м2
25.01.2017;1 USD = 328.49 KZT;1.79%;1 081 $/м2;0.78%;355 300 ₸/м2
01.02.2017;1 USD = 324.24 KZT;2.5%;1 108 $/м2;1.13%;359 300 ₸/м2
01.02.2017;1 USD = 324.24 KZT;2.5%;1 108 $/м2;1.13%;359 300 ₸/м2
15.02.2017;1 USD = 322.49 KZT;1.02%;1 088 $/м2;0.08%;348 500 ₸/м2
22.02.2017;1 USD = 317.26 KZT;3.03%;1 121 $/м2;1.12%;352 400 ₸/м2
22.02.2017;1 USD = 317.26 KZT;3.03%;1 121 $/м2;1.12%;352 400 ₸/м2
08.03.2017;1 USD = 316.26 KZT;2.01%;1 114 $/м2;2.68%;352 500 ₸/м2
15.03.2017;1 USD = 317.96 KZT;-1.17%;1 101 $/м2;-0.87%;349 500 ₸/м2
22.03.2017;1 USD = 315.05 KZT;1.18%;1 114 $/м2;0.53%;351 300 ₸/м2
22.03.2017;1 USD = 315.05 KZT;1.18%;1 114 $/м2;0.53%;351 300 ₸/м2
05.04.2017;1 USD = 312.69 KZT;0.27%;1 105 $/м2;-0.33%;345 700 ₸/м2
12.04.2017;1 USD = 311.37 KZT;-2.35%;1 079 $/м2;-2.66%;336 500 ₸/м2
12.04.2017;1 USD = 311.37 KZT;-2.35%;1 079 $/м2;-2.66%;336 500 ₸/м2
26.04.2017;1 USD = 311.58 KZT;-0.18%;1 098 $/м2;0.16%;343 600 ₸/м2
03.05.2017;1 USD = 315.22 KZT;-0.82%;1 089 $/м2;-0.05%;343 500 ₸/м2
03.05.2017;1 USD = 315.22 KZT;-0.82%;1 089 $/м2;-0.05%;343 500 ₸/м2
17.05.2017;1 USD = 312.04 KZT;0.19%;1 067 $/м2;-0.92%;334 100 ₸/м2
24.05.2017;1 USD = 310.83 KZT;5.44%;1 125 $/м2;4.8%;350 100 ₸/м2
31.05.2017;1 USD = 311.23 KZT;-4.53%;1 074 $/м2;-4.24%;335 200 ₸/м2
31.05.2017;1 USD = 311.23 KZT;-4.53%;1 074 $/м2;-4.24%;335 200 ₸/м2
14.06.2017;1 USD = 315.96 KZT;0%;1 080 $/м2;1.14%;342 600 ₸/м2
21.06.2017;1 USD = 321.72 KZT;-3.89%;1 038 $/м2;-1.5%;337 400 ₸/м2
21.06.2017;1 USD = 321.72 KZT;-3.89%;1 038 $/м2;-1.5%;337 400 ₸/м2
05.07.2017;1 USD = 322.37 KZT;0.97%;1 041 $/м2;0.93%;335 500 ₸/м2
12.07.2017;1 USD = 327.20 KZT;-0.96%;1 031 $/м2;0.65%;337 700 ₸/м2
12.07.2017;1 USD = 327.20 KZT;-0.96%;1 031 $/м2;0.65%;337 700 ₸/м2
26.07.2017;1 USD = 326.97 KZT;-1.53%;1 030 $/м2;-1.37%;336 000 ₸/м2
02.08.2017;1 USD = 330.07 KZT;-0.78%;1 022 $/м2;1.42%;340 800 ₸/м2
09.08.2017;1 USD = 332.19 KZT;3.72%;1 060 $/м2;3.53%;352 800 ₸/м2
09.08.2017;1 USD = 332.19 KZT;3.72%;1 060 $/м2;3.53%;352 800 ₸/м2
23.08.2017;1 USD = 333.08 KZT;-0.39%;1 020 $/м2;-0.55%;338 900 ₸/м2
30.08.2017;1 USD = 333.44 KZT;-1.37%;1 006 $/м2;-0.6%;336 900 ₸/м2
30.08.2017;1 USD = 333.44 KZT;-1.37%;1 006 $/м2;-0.6%;336 900 ₸/м2
13.09.2017;1 USD = 338.67 KZT;1.41%;1 010 $/м2;1.48%;341 200 ₸/м2
20.09.2017;1 USD = 340.95 KZT;-0.69%;1 003 $/м2;0.03%;341 300 ₸/м2
27.09.2017;1 USD = 339.68 KZT;2.39%;1 027 $/м2;2.47%;349 800 ₸/м2
27.09.2017;1 USD = 339.68 KZT;2.39%;1 027 $/м2;2.47%;349 800 ₸/м2
11.10.2017;1 USD = 337.48 KZT;-0.78%;1 019 $/м2;-3%;342 500 ₸/м2
18.10.2017;1 USD = 333.53 KZT;1.08%;1 030 $/м2;0.42%;343 900 ₸/м2
18.10.2017;1 USD = 333.53 KZT;1.08%;1 030 $/м2;0.42%;343 900 ₸/м2
01.11.2017;1 USD = 334.71 KZT;-0.29%;1 044 $/м2;-0.15%;349 600 ₸/м2
08.11.2017;1 USD = 332.90 KZT;0%;1 044 $/м2;-0.51%;347 800 ₸/м2
08.11.2017;1 USD = 332.90 KZT;0%;1 044 $/м2;-0.51%;347 800 ₸/м2
22.11.2017;1 USD = 330.29 KZT;1.63%;1 063 $/м2;0.95%;351 100 ₸/м2
29.11.2017;1 USD = 331.50 KZT;0.47%;1 068 $/м2;0.78%;353 800 ₸/м2
06.12.2017;1 USD = 332.99 KZT;-1.69%;1 050 $/м2;-0.89%;350 700 ₸/м2
06.12.2017;1 USD = 332.99 KZT;-1.69%;1 050 $/м2;-0.89%;350 700 ₸/м2
20.12.2017;1 USD = 335.33 KZT;1.38%;1 029 $/м2;1.07%;343 600 ₸/м2
27.12.2017;1 USD = 332.36 KZT;0.1%;1 030 $/м2;-0.62%;341 500 ₸/м2
27.12.2017;1 USD = 332.36 KZT;0.1%;1 030 $/м2;-0.62%;341 500 ₸/м2
10.01.2018;1 USD = 330.26 KZT;2.15%;1 046 $/м2;1.54%;345 300 ₸/м2
17.01.2018;1 USD = 327.89 KZT;0.86%;1 055 $/м2;-0.41%;343 900 ₸/м2
17.01.2018;1 USD = 327.89 KZT;0.86%;1 055 $/м2;-0.41%;343 900 ₸/м2
31.01.2018;1 USD = 322.43 KZT;0.85%;1 074 $/м2;1.22%;346 500 ₸/м2
07.02.2018;1 USD = 324.06 KZT;-1.96%;1 053 $/м2;-1.08%;342 700 ₸/м2
14.02.2018;1 USD = 324.21 KZT;0.66%;1 060 $/м2;-0.54%;340 900 ₸/м2
14.02.2018;1 USD = 324.21 KZT;0.66%;1 060 $/м2;-0.54%;340 900 ₸/м2
28.02.2018;1 USD = 318.68 KZT;-2.48%;1 060 $/м2;-2.14%;340 000 ₸/м2
07.03.2018;1 USD = 319.45 KZT;1.7%;1 078 $/м2;1.33%;344 500 ₸/м2
07.03.2018;1 USD = 319.45 KZT;1.7%;1 078 $/м2;1.33%;344 500 ₸/м2
21.03.2018;1 USD = 320.60 KZT;-0.47%;1 051 $/м2;-0.92%;337 000 ₸/м2
28.03.2018;1 USD = 318.90 KZT;0.29%;1 054 $/м2;-0.25%;336 200 ₸/м2
04.04.2018;1 USD = 320.37 KZT;0.09%;1 055 $/м2;0.4%;337 500 ₸/м2
04.04.2018;1 USD = 320.37 KZT;0.09%;1 055 $/м2;0.4%;337 500 ₸/м2
18.04.2018;1 USD = 328.12 KZT;-0.29%;1 040 $/м2;-0.92%;339 600 ₸/м2
25.04.2018;1 USD = 325.80 KZT;1.54%;1 056 $/м2;1.78%;345 700 ₸/м2
25.04.2018;1 USD = 325.80 KZT;1.54%;1 056 $/м2;1.78%;345 700 ₸/м2
09.05.2018;1 USD = 328.99 KZT;-3.19%;1 032 $/м2;-3.72%;338 000 ₸/м2
16.05.2018;1 USD = 327.77 KZT;-0.39%;1 028 $/м2;-0.22%;337 300 ₸/м2
16.05.2018;1 USD = 327.77 KZT;-0.39%;1 028 $/м2;-0.22%;337 300 ₸/м2
30.05.2018;1 USD = 329.38 KZT;1.36%;1 041 $/м2;2.57%;343 900 ₸/м2
06.06.2018;1 USD = 330.91 KZT;-1.44%;1 026 $/м2;-0.74%;341 300 ₸/м2
13.06.2018;1 USD = 334.50 KZT;-1.66%;1 009 $/м2;-0.8%;338 600 ₸/м2
13.06.2018;1 USD = 334.50 KZT;-1.66%;1 009 $/м2;-0.8%;338 600 ₸/м2
27.06.2018;1 USD = 338.84 KZT;-0.9%;989.0 $/м2;-0.89%;337 200 ₸/м2
04.07.2018;1 USD = 343.00 KZT;1.92%;1 008 $/м2;2.58%;345 900 ₸/м2
04.07.2018;1 USD = 343.00 KZT;1.92%;1 008 $/м2;2.58%;345 900 ₸/м2
18.07.2018;1 USD = 343.06 KZT;-1.41%;979.0 $/м2;-1.06%;337 800 ₸/м2
25.07.2018;1 USD = 344.64 KZT;1.74%;996.0 $/м2;2.06%;344 800 ₸/м2
25.07.2018;1 USD = 344.64 KZT;1.74%;996.0 $/м2;2.06%;344 800 ₸/м2
08.08.2018;1 USD = 348.82 KZT;-1.21%;978.0 $/м2;0.09%;345 600 ₸/м2
15.08.2018;1 USD = 363.28 KZT;-2.66%;952.0 $/м2;-0.55%;343 700 ₸/м2
22.08.2018;1 USD = 360.71 KZT;0.42%;956.0 $/м2;0.36%;345 000 ₸/м2
22.08.2018;1 USD = 360.71 KZT;0.42%;956.0 $/м2;0.36%;345 000 ₸/м2
05.09.2018;1 USD = 367.52 KZT;-2.04%;961.0 $/м2;0.67%;357 600 ₸/м2
12.09.2018;1 USD = 380.93 KZT;-2.29%;939.0 $/м2;-1.25%;353 100 ₸/м2
12.09.2018;1 USD = 380.93 KZT;-2.29%;939.0 $/м2;-1.25%;353 100 ₸/м2
26.09.2018;1 USD = 356.54 KZT;1.19%;1 024 $/м2;1.3%;369 300 ₸/м2
03.10.2018;1 USD = 360.65 KZT;-4.2%;981.0 $/м2;-2.49%;360 100 ₸/м2
10.10.2018;1 USD = 372.17 KZT;-2.34%;958.0 $/м2;-1.25%;355 600 ₸/м2
10.10.2018;1 USD = 372.17 KZT;-2.34%;958.0 $/м2;-1.25%;355 600 ₸/м2
24.10.2018;1 USD = 361.15 KZT;2.17%;990.0 $/м2;2.53%;362 500 ₸/м2
31.10.2018;1 USD = 368.55 KZT;-1.72%;973.0 $/м2;-0.65%;360 200 ₸/м2
31.10.2018;1 USD = 368.55 KZT;-1.72%;973.0 $/м2;-0.65%;360 200 ₸/м2
14.11.2018;1 USD = 374.20 KZT;-1.11%;977.0 $/м2;-1.55%;361 600 ₸/м2
21.11.2018;1 USD = 364.95 KZT;1.64%;993.0 $/м2;0.85%;364 700 ₸/м2
21.11.2018;1 USD = 364.95 KZT;1.64%;993.0 $/м2;0.85%;364 700 ₸/м2
05.12.2018;1 USD = 371.14 KZT;-0.81%;975.0 $/м2;-1.18%;361 100 ₸/м2
12.12.2018;1 USD = 370.55 KZT;0.41%;979.0 $/м2;0.3%;362 200 ₸/м2
19.12.2018;1 USD = 371.31 KZT;0.31%;982.0 $/м2;0.59%;364 300 ₸/м2
19.12.2018;1 USD = 371.31 KZT;0.31%;982.0 $/м2;0.59%;364 300 ₸/м2
02.01.2019;1 USD = 380.44 KZT;-1.02%;971.0 $/м2;0.07%;369 900 ₸/м2
09.01.2019;1 USD = 373.66 KZT;0.93%;980.0 $/м2;-0.56%;367 800 ₸/м2
09.01.2019;1 USD = 373.66 KZT;0.93%;980.0 $/м2;-0.56%;367 800 ₸/м2
23.01.2019;1 USD = 378.14 KZT;2.41%;1 018 $/м2;2.5%;384 800 ₸/м2
30.01.2019;1 USD = 380.66 KZT;-1.67%;1 001 $/м2;-1.01%;381 000 ₸/м2
30.01.2019;1 USD = 380.66 KZT;-1.67%;1 001 $/м2;-1.01%;381 000 ₸/м2
13.02.2019;1 USD = 374.81 KZT;1.02%;991.0 $/м2;0.25%;371 800 ₸/м2
20.02.2019;1 USD = 376.30 KZT;-0.3%;988.0 $/м2;-0.03%;371 700 ₸/м2
27.02.2019;1 USD = 378.04 KZT;-1.21%;976.0 $/м2;-1.32%;366 800 ₸/м2
27.02.2019;1 USD = 378.04 KZT;-1.21%;976.0 $/м2;-1.32%;366 800 ₸/м2
13.03.2019;1 USD = 377.99 KZT;4.26%;1 029 $/м2;4.13%;388 800 ₸/м2
20.03.2019;1 USD = 376.40 KZT;-2.24%;1 006 $/м2;-2.53%;379 000 ₸/м2
20.03.2019;1 USD = 376.40 KZT;-2.24%;1 006 $/м2;-2.53%;379 000 ₸/м2
03.04.2019;1 USD = 379.66 KZT;-1.78%;992.0 $/м2;-1.76%;376 400 ₸/м2
10.04.2019;1 USD = 379.77 KZT;-1.11%;981.0 $/м2;-1.15%;372 000 ₸/м2
17.04.2019;1 USD = 379.96 KZT;4.89%;1 029 $/м2;4.95%;390 400 ₸/м2
17.04.2019;1 USD = 379.96 KZT;4.89%;1 029 $/м2;4.95%;390 400 ₸/м2
01.05.2019;1 USD = 381.94 KZT;-2.01%;976.0 $/м2;-1.54%;372 200 ₸/м2
